movie_category,movie_name,movie_rating,movie_release_year,movie_url
Animation,The House Guest,5.0,2020,https://yts.mx/movies/the-house-guest-2020
Animation,The Manifestation,3.5,2024,https://yts.mx/movies/the-manifestation-2024
Animation,Sergio Mendes in the Key of Joy,8.3,2020,https://yts.mx/movies/sergio-mendes-in-the-key-of-joy-2020
Animation,Never Too Late: The Doc Severinsen Story,8.7,2020,https://yts.mx/movies/never-too-late-the-doc-severinsen-story-2020
Animation,Billy the Kid Versus Dracula,3.8,1966,https://yts.mx/movies/billy-the-kid-versus-dracula-1966
Animation,The Fittest,7.4,2020,https://yts.mx/movies/the-fittest-2020
Animation,Nosferatu,7.3,2024,https://yts.mx/movies/nosferatu-2024
Animation, Raging Phoenix,6.0,2009,https://yts.mx/movies/raging-phoenix-2009
Animation,Ultimatums,6.7,2020,https://yts.mx/movies/ultimatums-2020
Animation,Queen: The Awakening,3.2,2020,https://yts.mx/movies/queen-the-awakening-2020
Drama, Una jirafa en el balcón,5.4,2024,https://yts.mx/movies/una-jirafa-en-el-balcon-2024
Drama,Too Funny to Fail: The Life & Death of The Dana Carvey Show,7.7,2017,https://yts.mx/movies/too-funny-to-fail-the-life-death-of-the-dana-carvey-show-2017
Drama,Felipe Esparza: Raging Fool,,2025,https://yts.mx/movies/felipe-esparza-raging-fool-2025
Drama,Triple D Revenge,8.4,2021,https://yts.mx/movies/triple-d-revenge-2021
Drama,Five Children and It,5.5,2004,https://yts.mx/movies/five-children-and-it-2004
Drama,Paper Heart,8.3,2021,https://yts.mx/movies/paper-heart-2021
Drama,Sweet Mahogany 2: Pure Indulgence,5.8,2021,https://yts.mx/movies/sweet-mahogany-2-pure-indulgence-2021
